"시도별","종류별","항목","단위","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"충청북도","밭","양파","","21","20","15","42","55","47","43","70","58","89","56","102","114","64","115","65","84.8445","88.0469","100.9691","68.2073",
"충청북도","밭","생강","","11","24","22","9","26","18","26","13","5","12","31","43","34","27","37","97","27.9717","25.9547","39.2549","66.6588",
"충청북도","밭","기타채소","","618","523","913","1425","1391","1280","1567","2023","2736","2610","2551","2560","2538","2815","3009","2806","2275.4818","2214.2861","2339.1956","2379.5408",
"충청남도","합계","합계","","27049","23831","22131","23131","19992","18849","18529","18107","17630","17108","18928","17390","16878","16143","14587","14868","15843.203","16753.7396","15360.8065","",
"충청남도","합계","과채류","","1171","964","886","780","610","487","589","569","469","328","371","420","418","522","363","383","391.8605","330.7323","338.4492","393.856",
"충청남도","합계","수박","","671","441","395","251","157","127","77","51","61","22","33","16","38","13","34","55","49.5269","11.5812","17.1299","15.0908",
"충청남도","합계","참외","","81","59","41","35","41","18","24","27","20","5","5","25","6","12","4","13","23.4742","18.3023","14.6591","44.7871",
"충청남도","합계","딸기","","27","29","40","47","41","25","11","9","6","3","20","58","53","1","5","0",".7244",".4303","2.102","6.033",
"충청남도","합계","오이","","73","87","69","93","84","55","64","81","92","54","71","93","83","56","73","46","74.8463","105.5105","90.2719","59.0509",
"충청남도","합계","호박","","319","335","335","334","257","243","395","398","230","244","242","228","238","440","247","269","243.2887","194.908","214.2863","268.8942",
"충청남도","합계","토마토","","0","13","6","20","30","19","18","3","60","","","","","","","","","","","",
"충청남도","합계","근채류","","3691","2926","3462","3497","2190","2604","2120","2273","2204","2050","3099","2166","1919","1948","2009","1674","1880.4522","1841.0847","1355.8771","",
"충청남도","합계","무  계","","3495","2808","3377","3354","2095","2511","2011","2128","2152","2000","3062","2120","1889","1908","1979","1662","1836.9181","1799.0595","1323.5799","",
"충청남도","합계","봄무","","1525","1314","1691","1158","696","859","507","724","901","664","857","130","204","395","174","81","179.7556","101.662","37.8628","87.5761",
"충청남도","합계","고랭지무","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0",
"충청남도","합계","가을무","","1970","1189","1238","1663","1084","1080","920","959","867","817","1641","1062","939","812","1245","868","908.2814","735.3391","577.4967","591.0299",
"충청남도","합계","총각무","","","305","448","533","315","572","584","445","384","519","564","449","226","300","259","342","422.7453","405.8889","336.2489","303.0259",
"충청남도","합계","일반총각무","","","","","","","","","","","","","276","137","131","109","170","269.5428","233.8539","129.2258","177.9421",
"충청남도","합계","가을총각무","","","","","","","","","","","","","173","89","169","150","172","153.2025","172.035","207.0231","125.0838",
"충청남도","합계","겨울무","","","","","","","","","","","","0","0","0","","0","0","0","0","0","",
"충청남도","합계","기타무","","","","","","","","","","","","","479","520","401","301","371","326.1358","556.1695","371.9715","304.926",
"충청남도","합계","당근","","196","118","85","143","95","93","109","145","52","50","37","46","30","40","30","12","43.5341","42.0252","32.2972","10.4375",
"충청남도","합계","엽채류","","4417","3298","3748","4154","2668","3479","2973","3173","3068","2790","3320","2439","2375","2579","1958","1859","2322.8506","1918.2675","1563.2845","",
"충청남도","합계","배추계","","3648","2730","2995","3326","1998","2894","2443","2581","2503","2421","2840","1959","1961","2020","1588","1522","1796.9027","1391.1541","1109.0104","",
"충청남도","합계","봄배추","","796","521","790","785","286","592","435","438","389","363","439","179","163","91","103","191","192.565","166.2307","102.2139","159.3831",
"충청남도","합계","고랭지배추","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0",
"충청남도","합계","가을배추","","2852","2209","2205","2541","1712","2302","2008","2143","2114","2058","2401","1767","1763","1868","1426","1227","1547.8669","1194.4926","919.2708","1274.5354",
"충청남도","합계","겨울배추","","","","","","","","","","","0","0","0","0","","0","0","0","0","0","",
"충청남도","합계","기타배추","","","","","","","","","","","","","13","35","61","59","104","56.4708","30.4308","87.5257","70.4227",
"충청남도","합계","시금치","","123","104","70","86","63","64","64","46","37","81","59","40","75","36","10","33","25.6853","39.7545","33.6648","16.2649",
"충청남도","합계","상추","","30","32","52","61","37","60","16","32","40","39","18","16","58","41","39","61","77.1414","70.7997","71.1203","68.6949",
"충청남도","합계","양배추","","616","432","631","681","570","461","450","514","488","249","403","424","281","482","321","243","423.1212","416.5592","349.489","331.7684",
"충청남도","합계","조미채소","","16436","15422","12602","13171","13019","10767","11180","10567","9714","9609","9696","9946","9708","8713","8087","8775","9294.488","10570.6204","10091.4227","9072.4753",
"충청남도","합계","고추","","7793","7881","6099","6572","6254","5380","5754","5316","4873","4761","4428","4711","4604","3792","3623","3304","3065.1935","2937.605","3120.1618","3318.2249",
"충청남도","합계","마늘","","3315","2764","2580","2631","2759","2181","2422","2583","2339","2072","2363","2806","2910","2505","2149","2139","2642.8912","3537.6273","3418.3349","2806.318",
"충청남도","합계","파","","3745","2867","2792","2935","2433","2149","1629","1839","1692","1668","1783","1423","1322","1137","939","1613","2013.244","2045.4036","1843.8259","1460.1031",
"충청남도","합계","대파","","","688","722","731","540","502","334","375","388","539","590","282","326","277","200","492","564.3831","474.9121","529.1753","364.6209",
"충청남도","합계","쪽파","","","2179","2070","2204","1893","1647","1295","1464","1304","1129","1193","1141","996","860","739","1121","1448.8609","1570.4915","1314.6506","1095.4822",
"충청남도","합계","양파","","264","218","203","254","291","159","312","294","362","390","467","615","448","724","430","453","784.6174","1233.2449","944.0423","693.1144",
"충청남도","합계","생강","","1319","1692","928","779","1282","898","1063","535","448","718","655","391","424","555","946","1266","788.5419","816.7396","765.0578","794.7149",
"충청남도","합계","기타채소","","1334","1221","1433","1529","1505","1512","1667","1525","2175","2331","2442","2419","2458","2381","2170","2177","1953.5517","2093.0347","2011.773","1877.8855",
"충청남도","논","합계","","1419","1368","892","1168","1011","2341","1600","1582","896","901","1548","1148","864","1808","562","933","826.637","693.6806","735.5149","",
"충청남도","논","과채류","","96","97","78","56","85","132","43","99","93","10","20","77","39","180","21","3","27.2667","9.0144","6.2531","7.7658",
"충청남도","논","수박","","64","68","56","1","35","48","2","18","2","0","0","0","5","","10","0","1.6054",".1209",".0263",".1054",
"충청남도","논","참외","","1","0","0","0","1","0","1","1","6","1","0","0","1","","0","0",".6711",".1524",".1543",".4289",
"충청남도","논","딸기","","10","7","11","24","7","16","0","6","4","0","16","55","23","","0","0","0",".0097","0","0",
"충청남도","논","오이","","0","1","2","23","16","10","11","40","0","1","0","18","0","0","0","0",".2176",".7176",".0391",".2782",
"충청남도","논","호박","","21","15","5","8","10","49","18","34","22","8","4","4","10","180","11","3","24.7726","8.0138","6.0334","6.9533",
"충청남도","논","토마토","","0","6","4","0","16","9","11","0","59","","","","","","","","","","","",
"충청남도","논","근채류","","101","76","37","99","84","221","125","160","45","165","317","255","225","321","67","34","25.7713","10.1955","4.5089","",
"충청남도","논","무  계","","101","73","37","99","84","221","125","160","45","165","317","255","225","320","67","34","25.7486","9.9107","4.3231","",
