"주산지시군",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"전국",9758,7162,8948,7771,7473,9748,6826,7532,5498,5769
"충남 당진",318,314,356,306,302,334,491,324,331,641
"전북 고창",1451,942,864,892,838,1380,926,1195,689,497
"전북 부안",241,151,152,78,73,114,93,85,136,122
"전남 나주",323,246,310,176,122,162,177,95,174,119
"전남 영암",465,397,446,288,418,557,457,425,281,395
