법정동코드,법정동명,폐지여부
11,서울특별시,존재
26,부산광역시,존재
27,대구광역시,존재
28,인천광역시,존재
29,광주광역시,존재
30,대전광역시,존재
31,울산광역시,존재
3611,세종특별자치시,존재
41,경기도,존재
42,강원도,존재
43,충청북도,존재
44,충청남도,존재
45,전라북도,존재
46,전라남도,존재
47,경상북도,존재
48,경상남도,존재
50,제주특별자치도,존재
