지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
경기도,2001,210816,3661,0.09003831417624523,0.10568326947637295,0.0533205619412516,0.13793103448275862,0.0,0.0,3.2471264367816093,0.0
충청남도,2001,194741,3737,0.10169220945083016,0.14064495530012777,0.0518837803320562,0.27586206896551724,0.0,0.0,3.4454022988505746,0.0
전라남도,2001,331259,4582,0.19093231162196678,0.23243933588761173,0.1695402298850575,-0.3160919540229885,0.0,0.0,5.063218390804598,0.0
경기도,2002,178507,3440,0.013729246487867159,0.07120051085568325,-0.04821200510855681,0.25287356321839083,0.0,0.0,4.379310344827586,0.0
충청남도,2002,141248,2576,0.03128991060025542,0.09434865900383145,-0.054597701149425325,0.47126436781609193,0.0,0.0,4.367816091954023,0.0
전라남도,2002,257074,3619,0.13154533844189015,0.1740102171136654,0.09642401021711362,-0.3218390804597701,0.0,0.0,6.913793103448276,0.0
경기도,2003,137252,3119,0.07758620689655173,0.1139846743295019,0.010536398467432965,0.27011494252873564,0.0,0.0,4.097701149425287,0.0
충청남도,2003,155008,2663,0.09355044699872282,0.15229885057471265,0.01069604086845468,0.4367816091954023,0.0,0.0,4.278735632183908,0.0
전라남도,2003,214078,3190,0.1752873563218391,0.2302043422733078,0.140485312899106,-0.3563218390804598,0.0,0.0,7.459770114942529,0.0
경기도,2004,196075,3379,0.13856960408684554,0.14272030651341,0.09802043422733074,0.20689655172413793,0.0,0.0,4.517241379310345,0.0
충청남도,2004,222458,3541,0.13729246487867172,0.18326947637292465,0.07535121328224773,0.5028735632183908,0.0,0.0,3.6982758620689653,0.0
전라남도,2004,241334,3200,0.1950830140485313,0.19412515964240107,0.2340357598978289,-0.3045977011494253,0.0,0.0,7.166666666666667,0.0
경기도,2005,155055,2526,0.0878033205619413,0.11079182630906774,0.02554278416347385,0.3563218390804598,0.0,0.0,4.275862068965517,0.0
충청남도,2005,143244,2310,0.0945083014048531,0.15373563218390807,0.01181353767560665,0.5287356321839081,0.0,0.0,4.32183908045977,0.0
전라남도,2005,168043,2317,0.1254789272030651,0.13888888888888892,0.1264367816091954,-0.29310344827586204,0.0,0.0,2.5402298850574714,0.0
충청남도,2006,151410,2421,0.15676883780332057,0.20897190293742018,0.09578544061302681,0.4051724137931034,0.0,0.0,3.5919540229885056,0.0
전라남도,2006,218548,2702,0.2084929757343551,0.2359514687100894,0.24010217113665394,-0.5459770114942529,0.0,0.0,2.6666666666666665,0.0
경기도,2006,162592,2897,0.16187739463601533,0.17848020434227332,0.11621966794380587,0.23563218390804597,0.0,0.0,4.385057471264368,0.0
전라남도,2007,144772,2036,0.171455938697318,0.20561941251596422,0.15613026819923376,-0.3218390804597701,0.0,0.0,4.948275862068965,0.0
경기도,2007,118625,2163,0.12484035759897828,0.1823116219667944,0.06641123882503194,0.26436781609195403,0.0,0.0,4.988505747126437,0.0
충청남도,2007,133113,2109,0.0992975734355045,0.18103448275862072,0.011494252873563178,0.46264367816091956,0.0,0.0,4.17816091954023,0.0
전라남도,2008,193735,2547,0.1784802043422733,0.18199233716475097,0.2120051085568327,-0.1839080459770115,0.0,0.0,1.7471264367816093,0.0
경기도,2008,182253,2639,0.14974457215836529,0.16858237547892724,0.11206896551724135,-0.10344827586206896,0.0,0.0,4.7011494252873565,0.0
충청남도,2008,162144,2139,0.11270753512132821,0.16666666666666663,0.04597701149425285,0.1752873563218391,0.0,0.0,3.675287356321839,0.0
전라남도,2009,135954,1510,0.12484035759897831,0.14814814814814817,0.12260536398467436,-0.25862068965517243,0.0,0.0,4.775862068965517,0.0
경기도,2009,188691,2617,0.11143039591315455,0.13250319284802045,0.06832694763729241,0.05747126436781609,0.0,0.0,3.3793103448275863,0.0
충청남도,2009,158654,2003,0.09546615581098336,0.14511494252873566,0.019955300127713876,0.39655172413793105,0.0,0.0,3.7988505747126435,0.0
전라남도,2010,128785,1824,0.15549169859514683,0.1896551724137931,0.16219667943805877,-0.20114942528735633,0.2886766076421249,0.2805874840357599,5.028735632183908,0.0
충청남도,2010,108772,1956,0.11486802894848872,0.18553639846743297,0.033024691358024674,0.5865900383141762,0.12917313865589727,0.14797786292039164,8.221264367816092,0.0
