지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
경상남도,2002,190281,3094,0.22500000000000003,0.3863636363636363,0.13636363636363633,0.0,0.0,0.0,0.0,0.0
전라남도,2002,446844,7435,0.4795787545787546,0.5184815184815185,0.4895937395937396,0.07072414764722458,0.0,0.0,0.008490097473148321,0.0
경상남도,2003,127140,2161,0.22500000000000003,0.3863636363636363,0.13636363636363633,0.0,0.0,0.0,0.0,0.0
전라남도,2003,408110,6658,0.4622710622710623,0.501082251082251,0.4667832167832168,0.06931530008453085,0.0,0.0,0.011734028683181226,0.0
경상남도,2004,146649,2243,0.22500000000000003,0.3863636363636363,0.13636363636363635,0.0,0.0,0.0,0.0,0.0
전라남도,2004,524744,9010,0.4692518248175182,0.5028201725282017,0.49054412740544134,0.053621560920831,0.0,0.0,0.010732401336137572,0.0
전라남도,2005,521677,8653,0.46712454212454213,0.4975857475857476,0.48484848484848486,0.036911806142575374,0.0,0.0,0.008195194635872602,0.0
경상남도,2005,193610,3042,0.22500000000000003,0.3863636363636363,0.13636363636363633,0.0,0.0,0.0,0.0,0.0
전라남도,2006,479252,8571,0.45787545787545786,0.492007992007992,0.4698634698634698,0.0448013524936602,0.0,0.0,0.011470168249829268,0.0
경상남도,2006,167712,2706,0.22500000000000003,0.3863636363636363,0.13636363636363633,0.0,0.0,0.0,0.0,0.0
경상남도,2007,205558,2913,0.22500000000000003,0.3863636363636363,0.13636363636363633,0.0,0.0,0.0,0.0,0.0
전라남도,2007,678843,9731,0.4930402930402931,0.5222277722277722,0.5113220113220114,0.06198929275852353,0.0,0.0,0.006922456074998448,0.0
전라남도,2008,535704,8165,0.46751824817518256,0.5029860650298607,0.48249834107498335,0.04576080853453117,0.0,0.0,0.010392181120870963,0.0
경상남도,2008,196688,2812,0.22500000000000003,0.3863636363636363,0.13636363636363635,0.0,0.0,0.0,0.0,0.0
경상남도,2009,271633,3239,0.22500000000000003,0.3863636363636363,0.13636363636363633,0.0,0.0,0.0,0.0,0.0
전라남도,2009,750714,10152,0.48470695970695965,0.508075258075258,0.5051615051615052,0.08227669766131304,0.0,0.0,0.008117588626063203,0.0
경상남도,2010,306291,4282,0.24560439560439565,0.40109890109890106,0.16017316017316013,0.0019723865877712033,0.02626373626373627,0.019166019166019167,0.0009623145216365556,0.011552550014088477
전라남도,2010,751059,11754,0.4631868131868132,0.5039127539127539,0.473110223110223,0.08002254156100311,0.0,0.0,0.009514496802632397,0.0
경상남도,2011,357453,4842,0.42152014652014647,0.43098568098568096,0.4676989676989677,0.10171879402648636,0.6034065934065935,0.30132830132830135,0.009871484447755634,0.4759087066779375
전라남도,2011,780648,12166,0.4377289377289378,0.46345321345321344,0.4587912087912087,0.13384051845590308,0.5228205128205128,0.3473193473193473,0.00836592785745328,0.0
전라남도,2012,582994,10715,0.46377737226277377,0.4949402786994028,0.47752156602521567,0.14345873104997192,0.6806569343065694,0.4109710241097103,0.008026104169244094,0.0
경상남도,2012,282022,4493,0.44242700729927004,0.45968812209688126,0.4750331785003318,0.08618753509264457,0.6920072992700731,0.40551500405515006,0.007964245948286527,0.41998877035373394
전라남도,2013,580151,10124,0.44423076923076926,0.46994671994672,0.46719946719946714,0.15159199774584392,0.6627106227106228,0.39286639286639297,0.01081827776743031,0.0
경상남도,2013,379299,4609,0.43296703296703304,0.43814518814518816,0.4814352314352315,0.09157509157509157,0.6793772893772894,0.3868353868353869,0.006456820016142049,0.465483234714004
경상남도,2014,383139,5294,0.45164835164835165,0.45404595404595405,0.5005827505827506,0.073541842772612,0.7145421245421245,0.40626040626040627,0.007512261749549885,0.44970414201183434
전라남도,2014,763335,12080,0.47435897435897434,0.49625374625374635,0.5007492507492508,0.13496759650605802,0.6775824175824176,0.3946793946793948,0.007558825355435524,0.0
전라남도,2015,543208,9171,0.47179487179487184,0.49467199467199474,0.4945887445887445,0.14342068188222037,0.7066666666666668,0.428016428016428,0.009592102812441794,0.0
경상남도,2015,247845,3766,0.4417582417582418,0.4565434565434565,0.48593073593073594,0.07776838546069315,0.7211721611721612,0.4279054279054279,0.00903333954181412,0.4274443505212736
전라남도,2016,569472,9521,0.49014598540145987,0.5196582614465826,0.5064698075646981,0.10218978102189781,0.7239416058394161,0.4666003096660032,0.013485092168749227,0.0
경상남도,2016,353063,4749,0.4692518248175182,0.48241539482415396,0.5042302587923025,0.07748455923638405,0.7167153284671534,0.43397478433974795,0.010129283681801311,0.4202695115103874
전라남도,2017,514896,9230,0.4666666666666667,0.4833499833499833,0.493006993006993,0.14736545505776275,0.7004029304029303,0.4194324194324195,0.009855963245793756,0.0
경상남도,2017,239459,3938,0.4642857142857143,0.4611222111222111,0.515900765900766,0.08255846717385179,0.6680586080586081,0.3624893624893625,0.004920221021915937,0.4598478444632291
전라남도,2018,558659,11327,0.47453874538745394,0.4939617577993962,0.49966454209996647,0.13198978143627588,0.7448339483394835,0.46818740914681883,0.012946400650447182,0.0
경상남도,2018,361120,5471,0.44372693726937273,0.4419657832941966,0.48314324052331437,0.07380073800738007,0.7105166051660518,0.41142047784114205,0.010131965726436924,0.43996593812091966
경상남도,2019,353752,4330,0.445970695970696,0.44488844488844487,0.5024142524142524,0.07044237813468583,0.7051282051282052,0.38228438228438233,0.01102005339293475,0.48774302620456467
전라남도,2019,581958,8467,0.46858974358974353,0.4834332334332334,0.4998334998334998,0.12933220625528316,0.7047252747252747,0.4105154105154105,0.01142360464394363,0.0
