지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
강원도,2001,67685,2895,0.7431775700934578,0.7210921751878321,0.7406065229830249,0.0719626168224299,0.6153271028037383,0.35381855942603607,0.018846705704424708,0.46441409058231486
충청남도,2001,22982,1260,0.716448598130841,0.7280557082646143,0.6994087354567995,0.19906542056074775,0.0,0.0,0.010354054368480243,0.0
강원도,2002,76259,2626,0.7332710280373831,0.720175920835624,0.7135227922944878,0.06355140186915886,0.6346728971962616,0.35391296138959694,0.016713848062977467,0.505391804457225
충청남도,2002,32856,1369,0.7093457943925233,0.7122961334066337,0.6810986076673659,0.2018691588785047,0.0,0.0,0.021677589483072867,0.0
강원도,2003,45822,1994,0.7140186915887851,0.7174271577789996,0.7001716574480259,0.07102803738317756,0.6739252336448598,0.4064004531294251,0.019699848761003603,0.42415528396836816
충청남도,2003,31142,1328,0.6994392523364488,0.7110133773135425,0.6635514018691588,0.15887850467289724,0.0,0.0,0.02730057781052468,0.0
강원도,2004,60110,2214,0.7297196261682244,0.7289719626168224,0.6965477779897005,0.08504672897196261,0.6796261682242989,0.4275464929670537,0.03117850079497421,0.36879942487419126
충청남도,2004,37637,1616,0.7147663551401868,0.7240241891148982,0.673850848750715,0.2093457943925234,0.0,0.0,0.027688370108969636,0.0
충청남도,2005,59868,1970,0.7183177570093457,0.728238959135056,0.6831966431432385,0.2074766355140188,0.0,0.0,0.017683328809089852,0.0
강원도,2005,72816,2573,0.7373831775700936,0.7293384643577058,0.7121876788098417,0.10373831775700934,0.635233644859813,0.37109411875767023,0.01803234187769031,0.44356578001437813
충청남도,2006,49426,1641,0.7029906542056076,0.7262231995601979,0.6637421323669653,0.2093457943925234,0.0,0.0,0.02675766859270175,0.0
강원도,2006,61864,2210,0.7138317757009346,0.7225581821513654,0.6786191111958803,0.10841121495327102,0.6586915887850467,0.4091381100726896,0.04095086671578702,0.3443565780014378
충청남도,2007,48039,1611,0.7136448598130841,0.701667582921019,0.6431432386038526,0.18785046728971969,0.0,0.0,0.013378834296350877,0.0
강원도,2007,57100,1872,0.7198130841121496,0.7137621403701669,0.6936868205226014,0.06355140186915886,0.6990654205607477,0.3875200604172567,0.01589948423624307,0.42703091301222146
강원도,2008,61062,1787,0.7203738317757009,0.7165109034267914,0.6955941255006676,0.06822429906542055,0.6756074766355142,0.4048900217124517,0.020824446426493972,0.4406901509705249
충청남도,2008,45497,1495,0.7145794392523364,0.7251236943375482,0.6769025367156208,0.17943925233644867,0.0,0.0,0.024392135572187532,0.0
충청남도,2009,53361,2104,0.7114018691588786,0.7132123877588417,0.675376692733168,0.18598130841121502,0.0,0.0,0.02842517547601505,0.0
강원도,2009,55699,1678,0.7252336448598131,0.7159611508154665,0.7060843028800307,0.05794392523364486,0.6853271028037383,0.3960162371377325,0.03462985225113429,0.45650611071171826
강원도,2010,47907,1793,0.7190654205607476,0.7144951438519335,0.6902536715620828,0.07196261682242991,0.6490654205607477,0.3756254130085907,0.014852445030441697,0.4299065420560748
충청남도,2010,65721,2490,0.6985046728971965,0.71412864211105,0.6599275224108333,0.18504672897196262,0.0,0.0,0.014658548881219221,0.0
강원도,2011,53841,2071,0.7099065420560747,0.7143118929814917,0.6761396147243945,0.07476635514018691,0.6733644859813084,0.3861984329274049,0.040214061348741614,0.40690150970524797
충청남도,2011,62642,2870,0.6671028037383179,0.7091808686091259,0.643524699599466,0.12990654205607477,0.7300000000000001,0.49645992636646846,0.03610346298522511,0.0
충청남도,2012,64976,3070,0.7235514018691588,0.7331867326369802,0.697310699980927,0.12336448598130842,0.774766355140187,0.3969602567733409,0.016403614224221506,0.0
강원도,2012,63322,1947,0.7377570093457945,0.7331867326369802,0.712950600801068,0.10841121495327102,0.6380373831775701,0.3648635891626546,0.019971303369915074,0.4651329978432783
충청남도,2013,73608,2772,0.704485981308411,0.7212754260582738,0.6658401678428381,0.1551401869158879,0.7837383177570095,0.5454545454545455,0.015046341179664172,0.0
강원도,2013,73465,2548,0.7269158878504671,0.7295217152281473,0.6910165935533091,0.1,0.6517757009345794,0.3774190503162466,0.036917826811959514,0.4155283968368081
강원도,2014,51919,1802,0.7534579439252337,0.7476635514018691,0.7325958420751476,0.10934579439252337,0.6642056074766356,0.3745869914094213,0.007368053670454106,0.5355859094176851
충청남도,2014,71589,2329,0.7246728971962616,0.7401502657137622,0.6957848559984743,0.12616822429906543,0.7196261682242989,0.46058718021334843,0.009966262070035288,0.0
충청남도,2015,56127,2135,0.7130841121495327,0.721092175187832,0.6893000190730497,0.12523364485981311,0.703644859813084,0.453695836873407,0.00791096288827704,0.0
강원도,2015,45629,1781,0.7439252336448596,0.7284222100054975,0.7240129696738508,0.11682242990654206,0.6314018691588786,0.34692721608609456,0.007445612130143095,0.571531272465852
