시도별,2014,2015,2016,2017,2018,2019,2020
계,292728,261923,257554,348943,358501,227250,0
서울특별시,0,0,0,0,0,0,0
부산광역시,0,0,0,0,0,0,0
대구광역시,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0
광주광역시,0,0,0,0,0,0,0
대전광역시,0,0,0,0,0,0,0
울산광역시,0,0,0,0,0,0,0
세종특별자치시,0,0,0,0,0,0,0
경기도,0,0,0,0,0,0,0
강원도,0,0,0,0,0,0,0
충청북도,0,0,0,0,0,0,0
충청남도,0,0,0,0,0,0,0
전라북도,0,0,0,0,0,0,0
전라남도,280454,255442,241533,332042,354672,223797,0
경상북도,0,0,0,0,0,0,0
경상남도,0,0,0,0,0,0,0
제주도,12274,6481,16021,16901,3829,3453,0
