지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,연월일
구미,53.8,0.2,1.0,6.6,23,-4.7,,7.2,2017-12-21
구미,69.9,0.4,0.6,9.1,44,-5.7,,4.9,2017-12-22
구미,78.3,1.7,0.6,10.7,39,-3.6,,6.9,2017-12-23
구미,83.8,3.0,1.1,6.6,62,0.7,11.9,0.0,2017-12-24
영천,44.1,-0.3,2.2,7.7,17,-8.5,,7.6,2017-12-21
영천,56.0,0.7,1.6,9.4,34,-6.6,,7.6,2017-12-22
영천,66.1,0.1,0.5,11.1,32,-6.7,,6.6,2017-12-23
영천,74.1,2.7,2.2,6.6,52,-2.3,10.0,0.0,2017-12-24
경주시,52.1,-0.4,2.4,7.8,23,-7.8,,8.5,2017-12-21
경주시,64.9,0.4,2.1,9.2,40,-7.1,,8.4,2017-12-22
경주시,71.3,1.4,1.4,13.1,36,-6.0,,7.6,2017-12-23
경주시,74.6,4.3,2.4,12.9,57,-1.3,13.0,1.3,2017-12-24
거창,61.0,-1.1,0.7,8.4,20,-8.3,,8.8,2017-12-21
거창,68.9,-1.3,0.7,8.9,43,-10.1,,8.9,2017-12-22
거창,78.6,-0.2,0.4,10.5,46,-8.2,,7.5,2017-12-23
거창,80.8,2.2,1.7,9.9,47,-1.4,13.8,0.0,2017-12-24
합천,54.1,-1.0,0.8,9.9,14,-7.5,,8.0,2017-12-21
합천,63.5,-0.7,0.7,11.0,30,-8.8,,8.0,2017-12-22
합천,73.5,0.4,0.6,11.2,35,-6.2,,7.4,2017-12-23
합천,70.1,3.6,1.1,9.1,40,-0.9,12.5,0.8,2017-12-24
밀양,49.5,-0.7,0.6,9.0,17,-7.2,,7.9,2017-12-21
밀양,58.1,-0.3,0.5,10.2,30,-8.0,,7.8,2017-12-22
밀양,70.4,1.0,0.3,11.0,32,-6.3,,6.3,2017-12-23
밀양,73.1,4.2,1.2,9.2,43,-1.0,12.1,0.3,2017-12-24
산청,55.8,0.3,1.3,8.4,19,-5.4,,7.1,2017-12-21
산청,65.9,0.1,1.2,9.1,42,-7.3,,7.1,2017-12-22
산청,72.1,1.2,0.5,11.6,38,-5.9,,6.5,2017-12-23
산청,80.3,3.2,2.6,9.8,54,0.0,17.5,0.2,2017-12-24
거제,61.8,2.9,0.8,10.1,25,-1.6,,7.2,2017-12-21
거제,59.5,3.5,1.0,10.2,35,-2.9,,7.2,2017-12-22
거제,75.4,5.2,0.7,11.4,48,0.2,,5.9,2017-12-23
거제,79.9,8.6,2.6,14.0,49,4.4,19.0,0.0,2017-12-24
남해,60.9,1.8,0.8,8.9,21,-2.7,,8.1,2017-12-21
남해,60.5,3.3,0.8,10.0,44,-3.6,,8.1,2017-12-22
남해,81.1,4.1,0.6,10.3,53,-1.5,,7.1,2017-12-23
남해,74.5,7.3,1.9,13.0,49,4.3,22.0,0.4,2017-12-24
