시도별,2014,2015,2016,2017,2018,2019,2020
계,4220,3498,3392,4356,4735,3358,0
서울특별시,0,0,0,0,0,0,0
부산광역시,0,0,0,0,0,0,0
대구광역시,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0
광주광역시,0,0,0,0,0,0,0
대전광역시,0,0,0,0,0,0,0
울산광역시,0,0,0,0,0,0,0
세종특별자치시,0,0,0,0,0,0,0
경기도,0,0,0,0,0,0,0
강원도,0,0,0,0,0,0,0
충청북도,0,0,0,0,0,0,0
충청남도,0,0,0,0,0,0,0
전라북도,0,0,0,0,0,0,0
전라남도,4022,3382,3181,4145,4684,3307,0
경상북도,0,0,0,0,0,0,0
경상남도,0,0,0,0,0,0,0
제주도,198,116,211,211,51,51,0
