시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,18995,15314,12352,15563,16737,15315,17751,15392,18514,22113,22976,20965,20036,23911,18015,19896,19538,26425,21777,14673
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,6,5,3,6,5,6,16,5,12,16,6,13,23,16,17,21,10,31,16,13
대구광역시,102,112,141,186,233,84,76,99,156,147,137,129,81,120,63,217,236,263,311,356
인천광역시,11,16,7,15,26,22,27,16,17,24,25,35,25,33,25,35,32,35,52,24
광주광역시,4,17,3,15,29,26,23,66,45,76,167,126,58,83,93,43,48,65,33,34
대전광역시,1,0,0,0,1,1,1,2,3,2,4,3,3,4,1,2,5,5,4,2
울산광역시,20,12,13,18,32,35,32,47,38,46,55,46,37,62,36,19,18,65,52,28
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,5
경기도,45,29,17,30,63,21,51,39,33,41,74,158,90,217,177,217,280,509,493,345
강원도,218,69,74,89,78,10,39,11,33,53,22,30,37,59,46,16,33,60,102,76
충청북도,30,38,29,73,85,48,43,70,58,89,56,102,114,81,117,65,85,88,155,68
충청남도,264,218,203,254,291,159,312,294,362,390,467,615,448,724,430,453,785,1233,944,693
전라북도,502,497,343,505,736,565,708,996,961,1302,1306,1361,1393,1654,1352,912,1632,2646,2373,1142
전라남도,9353,7435,6658,9010,8653,8571,9731,8165,10152,11754,12166,10715,10124,12080,9171,9521,9230,11327,8467,5743
경상북도,3401,2924,1835,2268,2688,2152,2460,1978,2368,2695,2397,2370,2373,2602,2080,2057,2087,3369,3309,2365
경상남도,3811,3094,2161,2243,3042,2706,2913,2812,3239,4282,4842,4493,4609,5294,3766,4749,3938,5471,4330,2825
제주도,1227,848,865,851,775,909,1319,792,1037,1196,1252,769,621,882,641,1566,1116,1254,1130,955
