"주산지시군",2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015
"주산지시군",재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤)
"전국",3971,2404,95443,3202,3516,112577,3364,3650,122781,3322,3487,115842,3801,3668,139423,3784,2509,94944,3793,3332,126371,3751,2963,111125,2975,3647,108500,3403,3875,131867
"강원 강릉",343,3331,11424,265,3846,10193,346,4222,14610,307,3350,10284,400,3359,13436,365,2719,9926,316,3563,11258,335,3501,11729,295,3651,10770,422,4147,17500
"강원 홍천",303,2562,7764,224,3207,7183,265,3898,10331,272,3023,8221,351,3074,10789,358,2267,8117,339,3360,11390,349,3194,11146,351,4095,14374,307,3715,11404
"강원 횡성",281,2130,5985,238,3845,9152,229,3995,9148,165,3888,6415,-,-,-,-,-,-,-,-,-,352,2576,9068,199,4330,8617,263,3478,9148
"강원 평창",1958,2442,47806,1811,3508,63535,1595,3558,56749,1765,3736,65938,1963,4074,79975,2095,2709,56763,1980,3506,69418,1908,2908,55484,1317,3500,46091,1668,3991,66571
"강원 정선",493,2857,14085,329,3583,11788,302,3869,11683,359,3479,12489,342,3107,10626,-,-,-,316,2822,8919,-,-,-,258,3929,10137,413,4200,17346
"강원 인제",339,984,3337,136,2909,3956,286,2954,8450,242,2692,6514,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,2852,5533
