"주산지시군",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"전국",53097,54876,48825,44817,44584,42574,45459,45360,36120,34514
"경기 화성",713,608,-,-,556,504,597,605,433,427
"강원 영월",619,651,645,414,630,486,501,418,402,405
"충북 충주",783,776,542,524,419,354,458,421,314,261
"충북 제천",1191,1250,1012,951,837,799,749,652,505,434
"충북 청원",665,625,517,504,441,526,540,533,320,346
"충북 보은",544,474,490,315,421,401,368,275,202,234
"충북 괴산",1384,1284,1045,1075,972,757,819,676,610,527
"충북 음성",604,561,447,377,344,296,350,324,212,181
"충북 단양",832,928,867,688,664,640,719,613,414,604
"충남 공주",322,428,410,260,342,363,330,308,246,201
"충남 청양",648,715,727,579,574,527,549,518,495,506
"충남 홍성",456,434,397,353,341,304,312,343,284,241
"충남 예산",392,446,358,347,316,296,361,345,298,282
"충남 태안",729,721,616,616,654,525,607,523,427,418
"충남 당진",452,409,422,344,180,273,269,335,263,225
"전북 정읍",807,866,758,704,689,806,757,705,555,536
"전북 김제",466,423,374,429,361,272,271,325,255,261
"전북 완주",482,424,366,317,314,308,289,330,273,222
"전북 진안",723,660,660,492,629,659,535,642,526,496
"전북 무주",497,549,493,402,437,377,408,362,285,266
"전북 임실",659,681,466,490,501,508,489,633,394,403
"전북 고창",1101,1067,886,904,834,810,1042,1127,884,806
"전북 부안",399,489,425,361,302,335,306,327,292,245
"전남 순천",342,302,338,247,378,292,253,359,254,270
"전남 나주",478,485,455,465,410,424,438,581,356,297
"전남 화순",464,386,320,306,268,296,334,393,292,190
"전남 해남",1061,1141,955,921,933,781,1004,944,768,782
"전남 무안",432,437,412,267,310,300,377,376,483,299
"전남 영광",880,946,731,662,645,536,680,707,465,410
"전남 진도",486,482,321,353,336,298,310,362,270,377
"전남 신안",1040,1261,1085,820,950,720,924,1076,724,736
"경북 경주",457,527,461,419,420,345,450,425,273,268
"경북 안동",2175,2223,2287,2144,1934,1941,2075,1602,1371,1456
"경북 영주",717,731,784,602,674,578,680,538,385,358
"경북 영천",592,486,460,360,363,248,351,320,218,220
"경북 상주",603,734,525,434,391,454,423,390,310,309
"경북 의성",1488,1505,1268,1172,1072,984,1087,985,753,815
"경북 청송",1133,1244,1039,916,999,774,991,859,733,674
"경북 영양",1588,1879,1442,1578,1471,1476,1553,1544,1297,1190
"경북 예천",968,1047,819,788,740,572,622,549,510,399
"경북 봉화",1424,1681,1557,1288,1511,1277,1472,992,957,960
