지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
경상남도,2001,43588,2236,0.18959551084028556,0.20660213104098335,0.17669468997505297,-0.013755026716550793,-0.24881168969076806,0.08123890621581879,0.023832828109596714,0.37230826228131514
경상북도,2001,242561,16854,0.16478651064297786,0.10907698906724303,0.2324213756739386,-0.4857771196692828,-0.5846046464170969,-0.20960732413456346,-0.08832554504733774,0.49102275363675424
경상남도,2002,41094,2366,0.25740677804626005,0.2767953860921468,0.20849168122676998,0.06299653311316177,0.17789269792099036,0.20735344987851442,0.21606376134312733,0.6327714000313085
경상북도,2002,274900,16663,0.1389851504377778,0.03453547927839688,0.17735029804209854,-0.5740414134734522,-0.3858473024224815,-0.054964800939892526,0.12860862480556837,0.02148036245479355
경상남도,2003,28061,2390,0.156516843910542,0.22244220187111322,0.09408807352729273,-0.13271994445260515,0.4996478601723632,0.36930191905088644,0.2674578513213682,0.40065799156022597
경상북도,2003,230935,16778,0.08242062998791627,0.11901585703908915,0.059340845973869814,-0.4972898536437397,0.3376561683740612,0.4267057803042514,0.19789126543921898,-0.26378878841424674
경상남도,2004,33898,2505,0.23442306953560008,0.21358785176709658,0.24436526493472388,0.04418610984342073,-0.0031440765818460856,-0.07110632186580143,0.15110546719890575,0.11978072498111529
경상북도,2004,219048,16775,0.21200332518243098,0.156317161732606,0.2554740599855181,-0.18148864050177987,-0.15749771783444597,0.044712027984604115,0.13582269605348773,-0.03828063449032034
경상북도,2005,219723,16774,0.19058787084817783,0.14386302696870457,0.19341269568471853,-0.1288823664611195,-0.1307159583935189,0.35503792928489875,-0.03011676910513124,-0.09812005794061156
경상남도,2005,38952,2506,0.27163060482604967,0.27834833421274774,0.2389774563443957,0.12056020298544612,0.010553274894133654,0.0332284040766409,0.07693058957882898,0.08172353717247909
경상북도,2006,253441,18439,0.2279667644787881,0.20007974893445937,0.23635502407621287,-0.2555224401801452,-0.03646219549024283,0.3613001686943567,0.11242374564114999,-0.1486180132186715
경상남도,2006,43731,2408,0.28486207159794713,0.2991578390288006,0.25635107012110714,-0.02910533868249331,0.07673144884749777,0.10541810838011492,0.11072007415015857,-0.02724573474333446
경상북도,2007,271418,19050,0.3080171384487678,0.2845601266951516,0.3179782284234044,-0.25552244018014525,0.23983725131841535,0.08193471059464748,0.09510308548273735,-0.22126419449588047
경상남도,2007,49847,2493,0.3470499654258652,0.372456990321166,0.3101109316188559,0.013108019223848586,0.1068124370081178,0.08245656387876896,0.21549587084613028,-0.17342402633771847
경상남도,2008,52399,2628,0.238049792886848,0.20925385360232432,0.24436526493472394,0.2124859236601805,-0.06621808250377172,-0.09208539421894381,-0.09992819957860871,-0.03474853707196426
경상북도,2008,276888,19158,0.23442306953560016,0.1606511598973782,0.2855331524759027,-0.10116372936196273,0.08213908635484232,-0.08306959452999003,-0.04643850056964566,-0.0197371230439508
경상북도,2009,304517,19339,0.2544296980225831,0.15970309779883435,0.32715674136204437,-0.12504478846963388,-0.04960870142710639,-0.16368423513187155,-0.06560992516745227,-0.02458794762343657
경상남도,2009,53469,2767,0.24119823125068562,0.18920911209025265,0.27733052826657006,0.19347418482367304,-0.14096577658158208,-0.11863090160271543,-0.009104820716237206,-0.034333167063062164
경상남도,2010,42239,2868,0.22631283113230102,0.26499298037557945,0.18226735854494136,0.1896366068321874,0.23137001020653708,0.24875381041882005,0.16012654738890947,-0.207975258896391
경상북도,2010,292707,19543,0.23888272456560353,0.2143668716439881,0.22422627483586724,-0.1058568985122058,0.08363893501771429,0.06227823689273765,0.023548882861098165,-0.19291446521696964
경상남도,2011,41575,3029,0.16610965732016764,0.17740670637368527,0.09507148562786129,0.5849071399552068,-0.07478760262821801,0.11463751639959477,0.06954801311786617,0.008191426855304098
경상북도,2011,240865,19470,0.16544808398157268,0.1081452201948823,0.18620100694721567,-0.021430182699522005,-0.10910221134477713,-0.08123141624067469,0.034338802304043736,-0.055595464022245286
