"시도별","종류별","항목","단위","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"계","합계","시설재배합계","","101777","97623","100293","104252","100889","97331","94694","95567","97426","91648","93577","89594","86795","93511","90468","83629","80598.956","81194.742","80739.9889","80610.5573",
"계","합계","감자","","1182","1550","1266","1952","2273","1533","1676","1718","1699","2198","1551","1321","1353","1485","1018","1465","1330.8616","1640.247","2445.0222","2184.9578",
"계","합계","엽채류","","14004","12316","13274","12872","10315","10643","9166","9368","10116","10639","11624","9016","8069","7968","7722","6700","7329.1632","7052.3074","7071.6113","7285.8097",
"계","합계","배추","","5120","3755","4677","4494","3056","3901","2885","3081","2935","3700","4783","2896","2777","2518","1888","1809","2398.0397","1705.2485","1633.3254","2007.9162",
"계","합계","봄배추","","","","","","","","","","","","","","781","548","231","481","721.9954","453.6707","436.8414","496.9328",
"계","합계","기타배추","","","","","","","","","","","","","","1996","1970","1657","1328","1676.0443","1251.5778","1196.484","1510.9834",
"계","합계","시금치","","3286","3327","3214","3212","2978","2557","2276","2775","2968","2400","2954","2601","2324","2209","2751","2264","2243.2059","2306.5316","2522.4104","2323.0371",
"계","합계","상추","","5598","5234","5383","5166","4281","4185","4005","3512","4213","4539","3887","3519","2968","3241","3083","2627","2687.9176","3040.5273","2915.8755","2954.8564",
"계","합계","과채류","","48502","47642","45080","45302","47062","43797","42153","43075","43326","39146","36713","37060","36012","39699","37893","35037","31675.8746","32013.9677","31962.7152","29958.0141",
"계","합계","수박","","20500","19740","17744","17409","19124","16835","15757","17240","17210","14103","12995","12736","12299","14010","12572","11167","9934.9087","9446.8349","9324.6398","8957.418",
"계","합계","참외","","8055","7490","7359","6962","6655","6552","6260","6408","6602","6097","5719","5621","5380","5358","5305","4872","3453.5257","3468.542","3488.4019","3409.345",
"계","합계","오이","","5412","5494","5351","4747","4497","4597","3799","4368","4001","3589","3478","3201","2836","3281","3338","3906","3804.633","4163.7708","3962.8881","3651.8856",
"계","합계","호박","","4098","4114","3483","3502","3584","2995","2851","2945","3457","3246","2990","2868","2654","3155","3396","2857","2918.6216","2907.1749","3059.961","2784.1899",
"계","합계","토마토","","3218","3353","3971","5624","6493","6338","7130","6008","5951","5270","5850","6344","6054","7070","6976","6391","5781.572","6058.4422","5706.0697","5521.41",
"계","합계","딸기","","7219","7451","7172","7058","6709","6480","6356","6106","6105","6841","5681","6290","6789","6825","6306","5844","5782.6136","5969.2029","6420.7547","5633.7656",
"계","합계","무","","6203","5373","5627","6578","4373","5133","4488","3716","4002","1162","1651","1150","1197","1120","1031","865","850.5143","999.9775","585.4951","990.7156",
"계","합계","봄무","","","","","","","","","","","","","221","158","117","119","144","200.678","195.225","102.1558","203.0351",
"계","합계","총각무","","","","","","","","","","","","","346","266","318","342","228","123.4458","171.2206","125.559","266.1774",
"계","합계","일반총각무","","","","","","","","","","","","","293","196","292","327","209","109.1961","150.1042","90.0477","244.7489",
"계","합계","가을총각무","","","","","","","","","","","","","53","70","26","15","19","14.2497","21.1164","35.5113","21.4285",
"계","합계","기타무","","","","","","","","","","","","","583","773","685","570","493","526.3905","633.5319","357.7803","521.5031",
"계","합계","풋고추","","5517","4620","5334","5967","5213","5606","5966","6060","5704","5392","4814","4995","4851","4619","4878","4455","4528.5555","4805.8079","4255.7224","4386.8518",
"계","합계","기타채소","","12195","12251","13947","14745","14907","12553","13064","13421","13201","15018","16929","17444","15800","17611","17448","16702","16640.6666","15877.8552","15297.0127","16012.147",
"계","합계","과수","","3621","3872","4338","4717","4937","5470","5655","6027","6180","6225","6821","7271","7801","8473","8808","7811","7915.7752","8282.8701","8745.2299","9539.2401",
"계","합계","배","","76","70","36","76","72","","","","","","","","","","","","","","","",
"계","합계","감귤","","1736","1918","2122","2315","2359","2720","2854","3013","3043","3102","3390","3591","3801","4331","4573","4058","4313.8832","4762.4021","4926.5077","4951.4246",
"계","합계","성과수(감귤)","","1257","1324","1391","1728","1986","2471","2686","2820","2760","2834","2890","3024","3477","3864","4131","3607","3907.3759","4276.7949","4469.0422","4598.8448",
"계","합계","포도","","1225","1438","1641","1781","1951","1842","1840","2009","2239","2242","2467","2591","2802","2810","2707","2240","1959.5337","1856.5398","2081.0756","2600.8714",
"계","합계","성과수(포도)","","1054","1223","1412","1516","1720","1570","1628","1658","1785","1790","1998","2247","2532","2553","2378","2024","1710.5276","1627.1106","1692.9033","1702.2875",
"계","합계","기타과수","","584","446","539","545","555","908","961","1005","898","881","964","1089","1198","1332","1528","1513","1642.3583","1663.9282","1737.6466","1986.9441",
"계","합계","화훼","","5136","5111","5134","5519","5172","4143","4304","3803","4211","3731","3648","3132","2939","2958","2893","2343","2535.3693","2818.0383","2715.5994","2610.5034",
"계","합계","기타","","5417","4888","6293","6600","6637","6249","6230","6538","7221","6341","6956","6717","6818","7556","6988","6075","4946.34","4895.9859","4962.6864","5410.0706",
"계","합계","파인애플","","","","","","","","","","","","","","","","","","","","","",
"계","합계","바나나","","","","","","","","","","","","","","","","","","","","","",
"계","합계","대파","","","","","","","1600","1480","1436","1373","1424","2244","900","1299","1351","1254","1750","2249.9753","2057.948","1967.9918","1516.7874",
"계","합계","쪽파","","","","","","","604","512","405","393","372","626","588","656","671","535","426","595.8604","749.737","730.9025","715.4598",
"계","논","시설재배합계","","52878","49899","51029","52409","50910","51038","47149","49245","46700","35137","29209","25739","25309","43301","23549","16222","13067.0271","11628.107","10552.9282","10638.3893",
"계","논","감자","","994","1242","1086","1442","1672","1310","1377","1461","1327","1321","873","796","756","1129","633","673","595.7658","649.9342","1111.5038","1172.6868",
"계","논","엽채류","","3381","2952","3085","3222","2511","3545","2530","2516","2644","3146","2402","1406","1223","3607","1194","641","709.0816","840.0317","789.5753","443.2831",
"계","논","배추","","1669","1170","1390","1360","934","1575","807","1188","771","880","896","293","383","816","226","40","119.7748","46.8573","160.3135","67.5353",
"계","논","봄배추","","","","","","","","","","","","","","157","89","48","0","17.348","4.8295","70.5697","23.8385",
"계","논","기타배추","","","","","","","","","","","","","","226","727","178","40","102.4268","42.0278","89.7438","43.6968",
"계","논","시금치","","724","831","681","709","557","649","471","500","557","575","597","292","209","920","299","151","212.5419","121.2471","75.2737","29.8632",
"계","논","상추","","988","951","1014","1153","1020","1321","1252","828","1316","1691","909","821","631","1871","669","450","376.7649","671.9273","553.9881","345.8846",
"계","논","과채류","","35239","34419","32684","32491","32754","31702","28952","30213","29381","21070","17331","16241","16369","24226","15588","10576","7796.1856","6688.5471","5872.6379","5788.1539",
"계","논","수박","","16041","15297","13971","13722","14520","12874","11722","13181","13029","8973","7185","6713","6726","10214","6437","4230","4037.5962","3397.2527","3104.9237","2956.0866",
"계","논","참외","","6920","6530","6462","6171","5815","5475","5132","5302","5602","5196","4577","4536","4425","4500","4451","1862","646.4238","763.8654","791.5177","805.9137",
"계","논","오이","","2347","2308","2386","2158","1818","2222","1634","1859","1631","980","592","356","209","900","477","485","218.9567","380.2752","152.0507","84.6491",
"계","논","호박","","2285","2398","1880","1916","2044","1816","1618","1961","1812","1456","1224","978","1084","1628","958","562","568.475","459.2607","448.7091","439.6008",
"계","논","토마토","","1902","1894","2272","3013","3459","3967","4046","3441","3131","1765","2005","1956","1718","3568","1593","1707","945.1242","866.8","778.3204","828.9684",
"계","논","딸기","","5744","5992","5713","5511","5098","5348","4800","4469","4176","2700","1748","1702","2207","3416","1672","1730","1379.6097","821.0931","597.1163","672.9353",
"계","논","무","","1457","1055","1199","1512","849","1512","901","973","757","154","324","188","117","154","89","42","86.4464","101.853","9.1994","76.4626",
"계","논","봄무","","","","","","","","","","","","","49","5","16","20","36","30.4433","0","0","26.8922",
"계","논","총각무","","","","","","","","","","","","","36","0","-","5","0","16.0306","0","0",".4924",
"계","논","일반총각무","","","","","","","","","","","","","24","0","0","5","0","15.8451","0","0",".2488",
"계","논","가을총각무","","","","","","","","","","","","","12","0","0","0","0",".1855","0","0",".2436",
"계","논","기타무","","","","","","","","","","","","","103","112","138","64","6","39.9725","101.853","9.1994","49.078",
"계","논","풋고추","","3515","2956","3459","3641","2975","3446","3207","3464","3021","2231","1607","1374","1486","2077","1428","896","1072.5076","735.5772","482.6277","579.2642",
"계","논","기타채소","","4708","4585","5935","6001","6198","4280","5397","6064","4829","4494","4470","3875","3552","7252","3143","2021","1786.4154","1591.9077","1491.632","1823.1443",
