"주산지시군",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"전국",3971,3202,3364,3322,3801,3784,3793,3751,2975,3403
"강원 강릉",343,265,346,307,400,365,316,335,295,422
"강원 홍천",303,224,265,272,351,358,339,349,351,307
"강원 횡성",281,238,229,165,256,229,192,352,199,263
"강원 평창",1958,1811,1595,1765,1963,2095,1980,1908,1317,1668
"강원 정선",493,329,302,359,342,241,316,288,258,413
"강원 인제",339,136,286,242,202,253,258,192,143,194
