"주산지시군",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"전국",15315,17751,15392,18514,22113,22976,20965,20036,23911,18015
"전남 고흥",553,645,521,717,820,795,739,640,786,797
"전남 해남",1197,1341,834,1270,1101,1444,863,984,890,571
"전남 무안",3446,3874,3575,3982,4074,3703,3647,3417,3531,3355
"전남 함평",1219,1350,1162,1352,1850,1531,1388,1188,1429,1124
"전남 신안",1143,1350,1104,1630,2346,2680,2122,2191,3035,1772
"경북 영천",272,338,165,145,172,163,128,138,198,179
"경북 군위",267,241,158,235,324,286,297,264,318,204
"경북 의성",300,307,200,253,248,76,156,171,145,83
"경북 청도",254,222,200,205,220,236,180,131,139,97
"경남 창녕",1109,1351,1185,1228,1552,1457,1257,1069,1269,1121
"경남 함양",385,397,497,587,632,668,706,763,830,665
"경남 합천",554,629,624,809,1164,1557,1340,1726,1841,1205
"제주 북제주",837,-,-,-,-,-,-,-,-,-
"제주 제주",-,1091,713,897,1029,1063,606,531,774,458
