"주산지시군",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"전국",25423,24374,26327,25169,21341,17469,12702,13654,16783,17928
"전북 군산",1662,2035,2934,3132,3036,2958,2940,2896,2928,1920
"전북 익산",773,800,879,923,791,1256,1060,1089,756,744
"전북 김제",2918,3408,3601,1646,2787,2470,1690,2146,2001,2372
"전북 고창",389,268,288,496,179,280,217,125,354,306
"전북 부안",2066,1783,2321,2402,2252,1891,1499,996,1282,1232
"전남 나주",1671,1214,1193,1551,686,493,233,264,416,520
"전남 보성",1111,1031,990,920,775,689,603,740,771,1040
"전남 장흥",1327,1339,1023,972,776,779,333,361,668,1041
"전남 강진",1147,955,1069,1153,1117,745,301,239,778,1108
"전남 해남",614,600,999,1099,858,942,423,507,879,1464
"전남 영암",971,892,751,959,761,454,141,98,216,293
"전남 함평",1077,760,634,718,606,421,240,163,161,100
"전남 영광",2682,2677,3018,2473,2575,1042,984,1062,1051,974
"전남 장성",453,390,372,296,149,5,0,39,358,206
"전남 신안",1168,1359,1434,1024,422,306,275,114,598,542
